TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET
828,1,C,Hogar,117.39685887587757,12,9.05778801,25.6678,-100.2209,Hogar Reunión,UT_DENSIDAD,TRAIN
856,2,C,Receso,87.01199831867856,11,7.7983103944805965,26.04652,-98.38172,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
855,2,B,Base,104.39727428668768,12,8.458600116733093,26.04971,-98.31442,Clásico,UT_TRAFICO_VEHICULAR,TRAIN
854,2,C,Hogar,110.2427330786618,10,9.010128333617978,26.04082,-98.31979,Hogar Reunión,UT_DENSIDAD,TRAIN
848,2,C,Hogar,124.7756313756744,8,9.962085390355288,26.09732,-98.29138,Hogar Reunión,UT_DENSIDAD,TRAIN
851,2,C,Hogar,110.14950964565175,13,8.582689851367325,26.06185,-98.32044,Clásico,UT_DENSIDAD,TRAIN
853,2,C,Hogar,107.24217520996395,10,8.871824071979564,25.97227,-98.29033,Hogar Reunión,UT_DENSIDAD,TRAIN
798,2,C,Hogar,119.93025949925834,12,9.174559663214792,25.99222,-98.09663,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
802,2,C,Base,110.83256615978536,13,8.614173872332252,25.9898,-98.1002,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
803,2,C,Base,107.82561504165287,13,8.475574928,25.9872,-98.1074,Oficinistas,UT_TRAFICO_VEHICULAR,TRAIN
805,2,C,Hogar,125.56392790334927,13,9.293184309066863,26.0835,-98.33,Hogar Reunión,UT_DENSIDAD,TRAIN
806,2,B,Base,106.30936998182199,13,8.405686873,26.069,-98.2719,Clásico,UT_TRAFICO_VEHICULAR,TRAIN
807,2,B,Hogar,107.94241606175896,13,8.480958619428232,26.07896,-98.33792,Hogar Reunión,UT_DENSIDAD,TRAIN
808,2,C,Base,155.37064353399856,13,10.667060760565581,26.02103,-98.27533,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
809,2,C,Hogar,136.33546389110504,10,10.212816642612655,26.03188,-98.34141,Hogar Reunión,UT_DENSIDAD,TRAIN
839,2,C,Peatonal,107.2494200140749,13,8.449016457041317,26.08506,-98.27164,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN
811,2,B,Hogar,114.53538052523807,13,8.784847136840995,26.0562,-98.3151,Clásico,UT_DENSIDAD,TRAIN
813,2,C,Hogar,118.92764270395745,12,9.128346198369822,25.992,-98.114,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
816,2,B,Hogar,109.47950925076162,10,8.974949172741342,26.09528,-98.28297,Hogar Reunión,UT_DENSIDAD,TRAIN
817,2,C,Receso,147.78226923910006,13,10.317290967807903,26.08866,-98.27988,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN
819,2,C,Base,72.75830051001961,18,6.153986569438494,26.0669,-98.39358,Hogar Reunión,UT_DENSIDAD,TRAIN
822,2,C,Base,155.32714956714256,13,10.665055999706109,25.98347,-98.11129,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
835,2,C,Hogar,124.21363340749306,13,9.230945388367477,26.01647,-98.25479,Hogar Reunión,UT_DENSIDAD,TRAIN
1046,2,C,Hogar,123.89202032223677,13,9.216121325,26.09036,-98.28066,Oficinistas,UT_TRAFICO_VEHICULAR,TRAIN
1041,2,B,Hogar,107.62501252707827,13,8.466328586,25.98343,-98.09802,Hogar Reunión,UT_DENSIDAD,TRAIN
1042,2,C,Hogar,86.29145448773261,10,7.9061456591388515,25.9756,-98.05814,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
1043,2,C,Hogar,114.85647060099991,10,9.222788641915027,26.05884,-98.34364,Hogar Reunión,UT_TRAFICO_PEATONAL,TRAIN
1044,2,C,Base,119.2630206,13,9.002757537,25.98861,-98.12478,Parada Técnica,UT_DENSIDAD,TRAIN
1045,2,C,Hogar,105.37511418681305,13,8.362624361015344,25.98755,-98.05539,Hogar Reunión,UT_DENSIDAD,TRAIN
1047,2,C,Hogar,130.5461676770368,14,9.381782753232258,26.07928,-98.29009,Clásico,UT_DENSIDAD,TRAIN
1048,2,C,Hogar,141.79368844283692,14,9.900213032816168,26.03145,-98.38466,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
1049,2,C,Hogar,142.68901444590819,10,10.50566989081404,26.00607,-98.12218,Hogar Reunión,UT_DENSIDAD,TRAIN
1051,2,C,Hogar,142.6998314861429,14,9.941979747549654,26.03374,-98.29404,Hogar Reunión,UT_DENSIDAD,TRAIN
1052,2,B,Base,122.63268954206268,13,9.158075181036658,26.06517,-98.3448,Parada Técnica,UT_DENSIDAD,TRAIN
1053,2,C,Hogar,132.11079729396536,13,9.594948173232977,26.04132,-98.29259,Hogar Reunión,UT_DENSIDAD,TRAIN
1054,2,C,Hogar,128.85206183168143,13,9.444743770682432,26.09605,-98.29327,Hogar Reunión,UT_DENSIDAD,TRAIN
1055,2,C,Hogar,137.39138905114797,10,10.261487241879763,26.01132,-98.3814,Hogar Reunión,UT_DENSIDAD,TRAIN
1056,2,C,Hogar,123.35956599133732,10,9.614720536270386,26.03571,-98.342,Hogar Reunión,UT_DENSIDAD,TRAIN
1021,2,C,Hogar,110.1804382714655,10,9.007256988,25.98395,-98.19187,Hogar Reunión,UT_DENSIDAD,TRAIN
864,2,C,Receso,129.1111929581049,15,9.174593497,26.03357,-98.26942,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
865,2,C,Hogar,115.98165206909454,13,8.851509913149496,26.00448,-98.25235,Hogar Reunión,UT_DENSIDAD,TRAIN
866,2,C,Receso,99.19320496097664,13,8.077682550722564,26.03853,-98.30021,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
2,2,C,Hogar,116.32015273825019,12,9.008159556346078,26.04198,-98.3562,Hogar Reunión,UT_DENSIDAD,TRAIN
858,2,C,Receso,108.63633729908247,14,8.371896243574334,0,0,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
1,2,C,Hogar,102.42959902203275,12,8.367904357300741,26.00177,-98.24284,Hogar Reunión,UT_DENSIDAD,TRAIN
19,2,C,Hogar,85.73733331435373,10,7.880604635403943,25.9944,-98.11901,Hogar Reunión,UT_DENSIDAD,TRAIN
18,2,C,Hogar,105.2756379746745,10,8.781180767563246,26.05197,-98.28736,Hogar Reunión,UT_DENSIDAD,TRAIN
17,2,C,Base,125.06291871154279,13,9.270091367894253,26.05687,-98.36383,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
16,2,C,Hogar,94.39825244179063,13,7.856669526886076,26.02393,-98.34394,Hogar Reunión,UT_DENSIDAD,TRAIN
15,2,C,Receso,140.34497303809474,13,9.974484795,26.04645,-98.32298,Hogar Reunión,UT_CARRETERA_GAS,TRAIN
14,2,C,Receso,129.39574907787903,13,9.469803864984232,26.21178,-98.5901,Parada Técnica,UT_CARRETERA_GAS,TRAIN
13,2,C,Base,111.92364929889655,10,9.087606551632314,25.98686,-98.09433,Oficinistas,UT_TRAFICO_VEHICULAR,TRAIN
12,2,C,Hogar,107.75622738591386,10,8.895518201454635,25.99668,-98.26116,Hogar Reunión,UT_DENSIDAD,TRAIN
11,2,C,Hogar,89.34059875429696,13,7.623547857689548,26.00828,-98.40705,Hogar Reunión,UT_DENSIDAD,TRAIN
8,2,C,Base,107.13318430997617,12,8.584706005117196,26.04768,-98.2894,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
3,2,C,Hogar,121.1382643295204,13,9.089192864934489,26.02464,-98.26098,Hogar Reunión,UT_DENSIDAD,TRAIN
4,2,A,Hogar,95.39548490104507,12,8.043681995208543,26.04326,-98.23851,Hogar Reunión,UT_DENSIDAD,TRAIN
5,2,C,Hogar,124.43672738257867,13,9.241228425339393,26.06397,-98.26165,Hogar Reunión,UT_DENSIDAD,TRAIN
7,2,C,Hogar,108.9234641569743,13,8.526177921430701,26.08957,-98.33238,Hogar Reunión,UT_DENSIDAD,TRAIN
9,2,C,Hogar,124.22501693708206,11,9.513564453416114,26.01405,-98.39384,Hogar Reunión,UT_DENSIDAD,TRAIN
6,2,C,Hogar,86.83084049121891,13,7.507865948306292,26.02745,-98.35609,Hogar Reunión,UT_DENSIDAD,TRAIN
841,3,B,Hogar,122.42907569080734,12,9.289737221344101,25.58732,-100.27536,Hogar Reunión,UT_DENSIDAD,TRAIN
827,3,B,Base,118.79220194851837,12,9.122103348041167,25.52392,-100.20669,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
804,3,B,Hogar,109.95850383073955,10,8.997027397728683,25.54712,-100.23021,Hogar Reunión,UT_DENSIDAD,TRAIN
725,3,C,Hogar,131.0161345798126,13,9.544492049722283,25.66995,-100.27144,Hogar Reunión,UT_DENSIDAD,TRAIN
656,3,C,Base,138.16845350769037,12,10.01520999103167,25.66196,-100.31357,Parada Técnica,UT_GAS_URBANA,TRAIN
629,3,C,Hogar,103.47398217327607,13,8.274995769628273,25.6821,-100.41138,Hogar Reunión,UT_DENSIDAD,TRAIN
638,3,C,Receso,105.92934177756054,7,9.234453387034575,25.66655,-100.27964,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
554,3,C,Receso,119.88968636794763,13,9.031642349120489,25.65033,-100.3553,Oficinistas,UT_DENSIDAD,TRAIN
774,3,C,Receso,125.10623327630175,8,9.977323773937062,25.53083,-100.21282,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
767,3,C,Base,94.64495164063065,12,8.009087778746476,25.67365,-100.2749,,UT_TRAFICO_VEHICULAR,TRAIN
692,4,C,Hogar,110.9470490145204,14,8.478403530434816,25.64549,-100.15797,Hogar Reunión,UT_DENSIDAD,TRAIN
697,4,C,Base,105.99386036637883,13,8.391144135421019,25.64114,-100.15849,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
695,4,C,Hogar,138.2130565286571,13,9.876218688487693,25.64133,-100.06171,Hogar Reunión,UT_DENSIDAD,TRAIN
693,4,C,Hogar,85.99333372969437,11,7.751357241099889,25.68688,-100.09822,Parada Técnica,UT_DENSIDAD,TRAIN
709,4,C,Base,125.00751518431947,11,9.549632027198482,25.64914,-100.16257,Parada Técnica,UT_GAS_URBANA,TRAIN
712,4,B,Base,132.74288874723928,10,10.047224617930755,25.63907,-100.14898,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
727,4,C,Hogar,98.54582623908234,13,8.047843020858451,25.64184,-100.10777,Hogar Reunión,UT_DENSIDAD,TRAIN
763,4,C,Base,107.86947768061911,10,8.900738230220933,25.62994,-100.17502,Hogar Reunión,UT_GAS_URBANA,TRAIN
655,4,C,Hogar,95.20492559665766,13,7.893851391042501,25.64333,-100.13593,Hogar Reunión,UT_DENSIDAD,TRAIN
657,4,C,Base,109.3091397016623,12,8.685001989055637,25.62437,-100.06568,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
658,4,C,Base,127.35341490423292,14,9.234619680843899,25.64325,-100.09237,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
672,4,C,Base,83.12846086,12,7.478259904951516,25.64168,-100.08912,Parada Técnica,UT_GAS_URBANA,TRAIN
685,4,C,Base,117.05926947436674,10,9.324321918,25.62251,-100.11564,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
724,4,C,Hogar,107.34699343288582,13,8.453513893929623,25.63517,-100.18604,Hogar Reunión,UT_DENSIDAD,TRAIN
861,4,C,Base,110.90220111519093,13,8.617383545837324,25.69839,-100.11424,Hogar Reunión,UT_DENSIDAD,TRAIN
862,4,C,Hogar,127.09278606639346,13,9.363653737967248,25.64401,-100.14872,Hogar Reunión,UT_DENSIDAD,TRAIN
868,4,C,Hogar,123.89290528767691,12,9.357209298344024,25.64498,-100.10663,Barrio Competido,UT_DENSIDAD,TRAIN
759,4,C,Hogar,134.81263007444926,13,9.719483344,25.61631,-100.13266,Hogar Reunión,UT_DENSIDAD,TRAIN
741,4,C,Hogar,86.33261612217991,10,7.908042916152106,25.6503,-100.09787,Hogar Reunión,UT_DENSIDAD,TRAIN
751,4,C,Hogar,98.01045942697718,13,8.023166439071328,25.68108,-100.07976,Hogar Reunión,UT_DENSIDAD,TRAIN
755,4,C,Hogar,139.04733618609217,12,10.05572019787394,25.6718,-100.07631,Barrio Competido,UT_DENSIDAD,TRAIN
756,4,C,Hogar,106.41981760785752,13,8.410777718357986,25.63392,-100.12148,Hogar Reunión,UT_DENSIDAD,TRAIN
758,4,C,Base,87.78719560509938,13,7.551947080441485,25.62464,-100.11749,Parada Técnica,UT_GAS_URBANA,TRAIN
762,4,C,Hogar,97.30782897783668,13,7.990780199670047,25.6793,-100.09175,Hogar Reunión,UT_DENSIDAD,TRAIN
776,4,C,Hogar,118.6068634720537,10,9.395654935312052,25.61936,-100.12416,Oficinistas,UT_DENSIDAD,TRAIN
778,4,C,Base,96.63581853452648,6,8.947135603654889,25.64885,-100.08403,Barrio Competido,UT_TRAFICO_VEHICULAR,TRAIN
782,4,C,Hogar,127.10841952788888,12,9.505421511619325,25.6037,-100.1814,Barrio Competido,UT_DENSIDAD,TRAIN
787,4,C,Hogar,107.39761533418532,10,8.878988750199467,25.61143,-100.14326,Barrio Competido,UT_DENSIDAD,TRAIN
579,4,C,Hogar,91.50357631016303,15,7.441151290462514,25.66445,-100.1007,Hogar Reunión,UT_DENSIDAD,TRAIN
624,4,C,Hogar,116.68975503466501,13,8.884148396,25.63117,-100.10429,Hogar Reunión,UT_DENSIDAD,TRAIN
625,4,C,Hogar,122.77868330985423,13,9.16480445,25.62271,-100.12389,Barrio Competido,UT_DENSIDAD,TRAIN
614,4,C,Hogar,88.76657021,13,7.597089246437458,25.69467,-100.10876,Hogar Reunión,UT_DENSIDAD,TRAIN
628,4,C,Hogar,118.51333550061969,12,9.109249598885151,25.62308,-100.11947,Hogar Reunión,UT_DENSIDAD,TRAIN
632,4,C,Hogar,90.87002098561027,13,7.694043286103652,25.67265,-100.10799,Hogar Reunión,UT_DENSIDAD,TRAIN
637,4,C,Hogar,104.19365651420645,10,8.731309159167495,25.66896,-100.1318,Hogar Reunión,UT_DENSIDAD,TRAIN
619,4,C,Hogar,93.33153106529535,13,7.807501299241089,25.69338,-100.11017,Hogar Reunión,UT_DENSIDAD,TRAIN
617,4,C,Hogar,135.8594878506717,12,9.908783184978764,25.65422,-100.07998,Barrio Competido,UT_DENSIDAD,TRAIN
871,5,C,Hogar,98.38424189597805,10,8.463536686685844,25.79852,-100.22754,Hogar Reunión,UT_DENSIDAD,TRAIN
872,5,C,Hogar,102.54803948424784,13,8.232316432808446,25.76884,-100.15083,Hogar Reunión,UT_DENSIDAD,TRAIN
821,5,C,Hogar,112.92382073366363,13,8.710565754240434,25.78159,-100.24528,Hogar Reunión,UT_DENSIDAD,TRAIN
831,5,B,Hogar,111.35415228847718,10,9.061356811757936,25.80079,-100.19156,Hogar Reunión,UT_DENSIDAD,TRAIN
833,5,C,Hogar,130.65491192124875,12,9.668889451027121,25.8173,-100.234,Hogar Reunión,UT_DENSIDAD,TRAIN
836,5,C,Hogar,102.66375966678528,13,8.237650305742363,25.796,-100.2677,Hogar Reunión,UT_DENSIDAD,TRAIN
849,5,C,Hogar,104.87913524697697,12,8.480810461356144,25.85841,-99.94211,Barrio Competido,UT_DENSIDAD,TRAIN
857,5,C,Hogar,133.77381014444296,13,9.671601174,0,0,Hogar Reunión,UT_DENSIDAD,TRAIN
662,6,C,Receso,75.58167945151942,15,6.707265698089875,25.45501,-100.15735,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
623,6,C,Hogar,109.84056616522699,13,8.568449766083887,25.58972,-99.98302,Hogar Reunión,UT_DENSIDAD,TRAIN
659,6,C,Base,108.03558882191922,13,8.485253217,25.191,-99.82865,Oficinistas,UT_TRAFICO_VEHICULAR,TRAIN
626,6,C,Hogar,133.09750733959407,11,9.922522816,25.58631,-100.00492,Hogar Reunión,UT_DENSIDAD,TRAIN
622,6,C,Base,114.56009481985288,13,8.785986289,25.58502,-99.99391,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
621,6,C,Base,141.29972607725165,6,11.005822362882022,25.58565,-100.03457,Hogar Reunión,UT_DENSIDAD,TRAIN
719,6,C,Hogar,110.51766176885559,13,8.599659031699254,25.58241,-100.02211,Hogar Reunión,UT_DENSIDAD,TRAIN
699,6,C,Hogar,97.88366997833691,12,8.158369534990573,25.57064,-100.02873,Hogar Reunión,UT_DENSIDAD,TRAIN
654,6,C,Base,123.38592664195043,13,9.192794025164083,25.18499,-99.8407,Oficinistas,UT_TRAFICO_VEHICULAR,TRAIN
648,6,C,Base,132.47798903479892,12,9.75292027,25.28052,-100.01043,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
627,6,C,Hogar,132.36243929220225,10,10.029688618535928,25.37624,-100.11082,Hogar Reunión,UT_DENSIDAD,TRAIN
618,6,C,Base,114.73815703561283,13,8.794193683973965,25.56061,-100.00581,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
615,6,C,Base,150.7551881,14,10.313274084091812,25.19016,-99.83539,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
605,6,C,Base,95.91462541083317,13,7.926563477620942,25.28028,-99.97056,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
686,6,C,Hogar,135.1758062727235,10,10.159364718776496,25.54298,-99.84019,Hogar Reunión,UT_DENSIDAD,TRAIN
852,6,C,Hogar,89.17326245943718,13,7.615834851069238,25.60786,-100.05789,Hogar Reunión,UT_DENSIDAD,TRAIN
838,6,C,Base,100.20197421589764,12,8.265226783,24.86658,-99.57686,Parada Técnica,UT_CARRETERA_GAS,TRAIN
843,6,C,Base,105.75023372747074,7,9.226197786674527,25.29304,-100.01274,Parada Técnica,UT_CARRETERA_GAS,TRAIN
844,6,C,Hogar,98.98652583110807,13,8.068156120737413,25.6201,-100.0489,Hogar Reunión,UT_DENSIDAD,TRAIN
779,6,C,Base,101.61408068918128,12,8.330314793688505,25.7022,-99.22837,Barrio Competido,UT_TRAFICO_VEHICULAR,TRAIN
859,6,C,Hogar,105.1347589281506,12,8.492592885168339,25.61021,-100.06526,Hogar Reunión,UT_DENSIDAD,TRAIN
863,6,C,Hogar,115.2264425162362,12,8.957747335911991,25.18193,-99.85133,Clásico,UT_DENSIDAD,TRAIN
867,6,C,Base,131.5803798778412,13,9.570499723,24.86623,-99.5714,Clásico,UT_TRAFICO_VEHICULAR,TRAIN
801,6,C,Base,113.3291931669043,13,8.729250525,25.58436,-100.02436,Barrio Competido,UT_DENSIDAD,TRAIN
814,6,C,Receso,146.15435219744342,10,10.665397181546744,25.1249,-99.81162,Parada Técnica,UT_CARRETERA_GAS,TRAIN
818,6,C,Receso,114.02425951051822,12,8.902335295806186,25.56875,-99.9824,,UT_CARRETERA_GAS,TRAIN
869,6,C,Hogar,79.46372088508667,12,7.309341597440836,25.16495,-99.84036,Hogar Reunión,UT_DENSIDAD,TRAIN
826,6,C,Base,133.6556535500057,13,9.666154999822815,25.58719,-100.0281,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
786,6,C,Hogar,111.02050383180392,14,8.481789272,25.2829,-100.0032,,UT_DENSIDAD,TRAIN
785,6,C,Peatonal,117.88460872772126,12,9.080269790495134,25.26151,-99.67147,Parada Técnica,UT_GAS_URBANA,TRAIN
784,6,C,Hogar,119.45120734543697,12,9.152478784,25.2894,-100.03434,Hogar Reunión,UT_GAS_URBANA,TRAIN
721,6,C,Hogar,67.73081031103261,13,6.627491135709029,25.36299,-99.98668,Parada Técnica,UT_DENSIDAD,TRAIN
744,6,C,Receso,66.26516234388097,13,6.559935244841736,25.60719,-100.04114,Parada Técnica,UT_CARRETERA_GAS,TRAIN
737,6,C,Base,90.39769185322407,13,7.672272291,25.57386,-100.00367,Oficinistas,UT_TRAFICO_VEHICULAR,TRAIN
734,6,C,Receso,78.37455589248393,13,7.118091696713575,25.5415,-100.00833,Parada Técnica,UT_CARRETERA_GAS,TRAIN
723,6,C,Hogar,135.8627194640009,12,9.908932139244921,25.37834,-100.11439,Hogar Reunión,UT_DENSIDAD,TRAIN
745,6,C,Base,117.08115238019539,10,9.325330563889555,25.69224,-99.62149,Oficinistas,UT_GAS_URBANA,TRAIN
718,6,C,Hogar,105.2954914852118,10,8.782095872,25.5967,-99.98241,Hogar Reunión,UT_DENSIDAD,TRAIN
715,6,C,Hogar,100.78867162382159,10,8.574363703768228,25.60082,-99.9882,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
713,6,C,Base,121.0099589159627,12,9.224326085711262,24.85807,-99.57523,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
708,6,C,Base,138.39312112978754,11,10.166612744745564,25.3947,-100.12973,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
768,6,C,Base,100.18362366204894,13,8.123333770648587,25.35691,-100.09469,,UT_TRAFICO_VEHICULAR,TRAIN
874,6,C,Base,88.54470040994539,13,7.5868626352503785,25.40397,-99.98722,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
764,6,C,Base,82.68541080793617,10,7.739932831260096,25.28191,-100.02697,Clásico,UT_TRAFICO_VEHICULAR,TRAIN
761,6,B,Receso,77.01632418859944,12,7.196534110348159,25.487,-100.1833,,UT_CARRETERA_GAS,TRAIN
757,6,C,Receso,116.1197596945898,12,8.998922869985169,25.46719,-100.17342,Parada Técnica,UT_TRAFICO_VEHICULAR,TRAIN
748,6,C,Receso,99.27636631178926,12,8.222562877200048,25.27433,-100.01648,Parada Técnica,UT_CARRETERA_GAS,TRAIN
747,6,C,Receso,142.48571279990207,13,10.073157590081259,25.599,-99.68105,Parada Técnica,UT_CARRETERA_GAS,TRAIN
